"address","graffiti_contractors","created_at","customfld_lat","customfld_lon","group_id","hate_gang","ticket_id","loc_details","loc_name","public_description","url","responsible_party","sqft_abated","graffiti_status_primary","graffiti_status_details","status","square_footage"
"**Address:** 1005 SW PARK AVE, Portland, OREGON 97205","graffiti_removal_services_grs","2023-01-25T18:15:39Z","45.51774221487","-122.68220051425",8559017236631,"FALSE",43741,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43741.json","Contractor","","Solved","Cleaned by contractor","closed","2"
"**Address:** SW 6TH AVE AND W BURNSIDE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T18:14:46Z","45.52306177037","-122.67647150557",8559017236631,"FALSE",43740,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43740.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW BROADWAY AND SW SALMON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T18:13:58Z","45.51734798576","-122.68070601055",8559017236631,"FALSE",43739,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43739.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW 6TH AVE AND SW SALMON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T18:05:54Z","45.51707498085","-122.67968606884",8559017236631,"FALSE",43729,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43729.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW BROADWAY AND W BURNSIDE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T18:04:55Z","45.52304234946","-122.67741135771",8559017236631,"FALSE",43727,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43727.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW 4TH AVE AND SW YAMHILL ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T18:04:05Z","45.51784925259","-122.67692432074",8559017236631,"FALSE",43725,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43725.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW 8TH AVE AND W BURNSIDE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T18:03:01Z","45.52302265955","-122.67845017336",8559017236631,"FALSE",43724,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43724.json","Contractor","","Solved","Cleaned by contractor","closed","3"
"**Address:** SW 8TH AVE AND W BURNSIDE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T18:02:00Z","45.52302265955","-122.67845017336",8559017236631,"FALSE",43723,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43723.json","Contractor","","Solved","Cleaned by contractor","closed","4"
"**Address:** SW 3RD AVE AND SW SALMON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T17:51:12Z","45.51625621999","-122.67662661014",8559017236631,"FALSE",43713,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43713.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW 8TH AVE AND W BURNSIDE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T17:50:29Z","45.52302265955","-122.67845017336",8559017236631,"FALSE",43711,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43711.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW 10TH AVE AND W BURNSIDE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T17:49:32Z","45.5229813133","-122.68111454686",8559017236631,"FALSE",43710,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43710.json","Contractor","","Solved","Cleaned by contractor","closed","2"
"**Address:** SW 5TH AVE AND SW COLLEGE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T17:48:41Z","45.50947052203","-122.68263328598",8559017236631,"FALSE",43709,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43709.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW BROADWAY AND SW COLLEGE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T17:47:56Z","45.5100104244","-122.68468012735",8559017236631,"FALSE",43708,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43708.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW BROADWAY AND SW COLLEGE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T17:47:04Z","45.5100104244","-122.68468012735",8559017236631,"FALSE",43705,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43705.json","Contractor","","Solved","Cleaned by contractor","closed","4"
"**Address:** SW 13TH AVE AND W BURNSIDE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T17:43:44Z","45.52292831921","-122.68414975284",8559017236631,"FALSE",43703,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43703.json","Contractor","","Solved","Cleaned by contractor","closed","2"
"**Address:** SW 6TH AVE AND SW COLLEGE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T17:42:49Z","45.50973894997","-122.68365197907",8559017236631,"FALSE",43701,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43701.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** 1005 SW MAIN ST, Portland, OREGON 97205","graffiti_removal_services_grs","2023-01-25T17:41:59Z","45.5173432194","-122.68354265427",8559017236631,"FALSE",43697,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43697.json","Contractor","","Solved","Cleaned by contractor","closed","5"
"**Address:** SW 1ST AVE AND SW LINCOLN ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T17:41:04Z","45.50795008317","-122.67867045623",8559017236631,"FALSE",43696,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43696.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW 13TH AVE AND W BURNSIDE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T17:19:03Z","45.52292831921","-122.68414975284",8559017236631,"FALSE",43676,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43676.json","Contractor","","Solved","Cleaned by contractor","closed","5"
"**Address:** SE 125TH AVE AND SE BUSH ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T17:03:05Z","45.49445830907","-122.53435684454",8559017236631,"FALSE",43668,"**Location Details:** The metal mailboxes and another metal box are constantly tagged as well as the fence of the house at 12504 se Bush.","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43668.json","Contractor","","Solved","Cleaned by contractor","closed","36"
"**Address:** 1969 SW MILL STREET TER, Portland, OREGON 97201",NA,"2023-01-25T16:38:17Z","45.51573511534912","-122.69456148147584",8559017236631,"FALSE",43648,"**Location Details:** I could not select the tunnel on the map. But there is graffiti all over the walls of the tunnel.","**Location name:** US26 W tunnel",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43648.json","PBOT maintenance ops","","Solved","Referred to PBOT maintenance ops","closed",NA
"**Address:** SW BROADWAY AND SW JEFFERSON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T16:15:20Z","45.51534946148","-122.68179155891",8559017236631,"FALSE",43635,"**Location Details:** trash can","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43635.json","Contractor","","Solved","Cleaned by contractor","closed","3"
"**Address:** SW BROADWAY AND SW MAIN ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T16:12:33Z","45.51668131011","-122.68106601224",8559017236631,"FALSE",43632,"**Location Details:** parking meter","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43632.json","Contractor","","Solved","Cleaned by contractor","closed","2"
"**Address:** 412 SW 4TH AVE, Portland, OREGON 97204","graffiti_removal_services_grs","2023-01-25T16:10:55Z","45.52024","-122.67544",8559017236631,"FALSE",43631,"**Location Details:** building","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43631.json","Contractor","","Solved","Cleaned by contractor","closed","312"
"**Address:** SW BROADWAY AND SW TAYLOR ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T16:09:23Z","45.51801416216","-122.68034430391",8559017236631,"FALSE",43628,"**Location Details:** parking meter","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43628.json","Contractor","","Solved","Cleaned by contractor","closed","2"
"**Address:** SE TAYLOR ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T16:08:11Z","45.51508785502","-122.66075850782",8559017236631,"FALSE",43627,"**Location Details:** parking meter","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43627.json","Contractor","","Solved","Cleaned by contractor","closed","5"
"**Address:** SE SALMON ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T15:54:51Z","45.51437476028","-122.66076320116",8559017236631,"FALSE",43621,"**Location Details:** bike staple","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43621.json","Contractor","","Solved","Cleaned by contractor","closed","3"
"**Address:** SE YAMHILL ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T15:50:46Z","45.51580234428","-122.66075269588",8559017236631,"FALSE",43619,"**Location Details:** pole","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43619.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SE TAYLOR ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T15:46:42Z","45.51508785502","-122.66075850782",8559017236631,"FALSE",43618,"**Location Details:** pole","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43618.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SE TAYLOR ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T15:45:09Z","45.51508785502","-122.66075850782",8559017236631,"FALSE",43617,"**Location Details:** electric box","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43617.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SE TAYLOR ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T15:43:26Z","45.51508785502","-122.66075850782",8559017236631,"FALSE",43616,"**Location Details:** electric box","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43616.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SE TAYLOR ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T15:42:03Z","45.51508785502","-122.66075850782",8559017236631,"FALSE",43614,"**Location Details:** pole","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43614.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SE TAYLOR ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T15:40:35Z","45.51508785502","-122.66075850782",8559017236631,"FALSE",43612,"**Location Details:** parking meter","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43612.json","Contractor","","Solved","Cleaned by contractor","closed","3"
"**Address:** SE BELMONT ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T15:38:30Z","45.51652277696","-122.66075263489",8559017236631,"FALSE",43611,"**Location Details:** pole","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43611.json","Contractor","","Solved","Cleaned by contractor","closed","1"
